Name,Slug,Image,Model,Brand,Category,Capacity,Warranty,MRP,Price with Old Battery,Price without Old Battery,Coupon Code,Note,Description,Recommended For,Is Best Seller
SFSonic F4W5-48S-36B19L,sfsonic-f4w5-48s-36b19l,,SFSonic F4W5-48S-36B19L,SF Sonic,Car,33 Ah,48 Months(24 Months Free Of Cost + 24 Months Pro Rata),4160,2899,3599,BBCAR50,For this battery Manufacturer warranty is not available for commercial vehicles.,"A total workhorse, SF Series 44 is made for India. Its Corrosion-Resistant Alloy System ensures an extended battery life and its unique paste recipe allows quick rechargeability.","Toyota Glanza Petrol, Toyota Yaris MT, Maruti Suzuki S-Presso, Maruti Suzuki Baleno New Automatic Petrol, Maruti Suzuki Ignis Petrol, Maruti Suzuki Baleno New Petrol, Maruti Suzuki Ciaz Petrol, Maruti Suzuki Alto K10 Petrol, Maruti Suzuki Alto 800 Petrol, Maruti Suzuki Celerio Petrol, Maruti Suzuki Ertiga Petrol, Maruti Suzuki Eeco  Petrol, Maruti Suzuki SX4 Petrol, Maruti Suzuki WagonR Petrol, Maruti Suzuki Alto Std  Petrol, Maruti Suzuki Swift Petrol 2012 Onwards, Honda Civic 1.3 Hybrid, Honda WR-V Petrol, Honda BR-V Petrol, Honda Mobilio Petrol, Honda Amaze 1.2 Petrol, Honda Brio Petrol, Honda Jazz Petrol, Honda City Petrol",False
SFSonic F4W5-66S-40B20L,sfsonic-f4w5-66s-40b20l,,SFSonic F4W5-66S-40B20L,SF Sonic,Car,35 Ah,66 Months (30 Months Free Of Cost + 36 Months Pro Rata),4744,3299,4199,BBCAR50,For this battery Manufacturer warranty is not available for commercial vehicles.,"SF Batteries offers enhanced maintenance free automotive batteries for the new age consumer! The batteries are designed with the latest technology in automotive batteries, to guarantee supersonic speed!","Toyota Urban Cruiser Petrol, Toyota Glanza CNG, Toyota Glanza Petrol, Toyota Yaris MT, Toyota Prius 1.8 Petrol, Toyota Corolla Petrol, Toyota Innova Petrol Old, Toyota Etios Petrol, Toyota Etios Liva Petrol, Renault Scala Petrol, Renault Pulse Petrol, Nissan Datsun Go+, Nissan Datsun Go, Nissan Sunny Petrol, Nissan Micra Petrol, Maruti Suzuki Vitara Brezza Petrol, Maruti Suzuki S-Presso, Maruti Suzuki Dzire Petrol 2013 Onwards, Maruti Suzuki Ignis Petrol, Maruti Suzuki Baleno New Petrol, Maruti Suzuki Ciaz CNG, Maruti Suzuki Ciaz Petrol, Maruti Suzuki Alto K10 Petrol, Maruti Suzuki Alto K10 CNG, Maruti Suzuki Alto 800 CNG, Maruti Suzuki Alto 800 Petrol, Maruti Suzuki Celerio CNG, Maruti Suzuki Celerio Petrol, Maruti Suzuki Ertiga Petrol, Maruti Suzuki Baleno Old Altura, Maruti Suzuki Eeco  Petrol, Maruti Suzuki WagonR Petrol, Maruti Suzuki Alto Std  Petrol, Maruti Suzuki Swift Petrol 2012 Onwards, Honda Civic 1.3 Hybrid, Honda WR-V Petrol, Honda BR-V Petrol, Honda Mobilio Petrol, Honda City CNG, Honda Amaze 1.2 Petrol, Honda Brio Petrol, Honda Jazz Petrol, Honda City Petrol, Mitsubishi Cedia 2.0 Petrol, Mitsubishi Lancer Petrol, Chevrolet Spark 1.0 Petrol",False
SFSonic F4W5-66S-40B20R,sfsonic-f4w5-66s-40b20r,,SFSonic F4W5-66S-40B20R,SF Sonic,Car,35 Ah,66 Months (30 Months Free Of Cost + 36 Months Pro Rata),4744,3299,4099,BBCAR50,For this battery Manufacturer warranty is not available for commercial vehicles.,"SF Batteries offers enhanced maintenance free automotive batteries for the new age consumer! The batteries are designed with the latest technology in automotive batteries, to guarantee supersonic speed!","Tata  Indigo Petrol, Maruti Suzuki Swift Petrol Upto 2011, Maruti Suzuki 1000, Maruti Suzuki Esteem, Maruti Suzuki Zen Petrol, Maruti Suzuki Ritz Petrol, Maruti Suzuki SX4 Petrol, Maruti Suzuki Dzire Petrol Upto 2012, Maruti Suzuki A Star Petrol, Maruti Suzuki Omni Petrol, Maruti Suzuki 800 Std, Hyundai Santro",False
SFSonic F4W5-72S-35L,sfsonic-f4w5-72s-35l,,SFSonic F4W5-72S-35L,SF Sonic,Car,35 Ah,72 Months (36 Months Free Of Cost + 36 Months Pro Rata),4850,3749,4649,BBCAR50,For this battery Manufacturer warranty is not available for commercial vehicles.,"Long-lasting and enriched with Calcium-Silver Technology, ensures starting power even after ages.","Toyota Urban Cruiser Petrol, Toyota Yaris MT, Toyota Prius 1.8 Petrol, Toyota Corolla Petrol, Toyota Innova Petrol Old, Toyota Etios Petrol, Toyota Etios Liva Petrol, Renault Scala Petrol, Renault Pulse Petrol, Nissan Datsun Go+, Nissan Datsun Go, Nissan Sunny Petrol, Nissan Micra Petrol, Maruti Suzuki Vitara Brezza Petrol, Maruti Suzuki Baleno New Automatic Petrol, Maruti Suzuki Dzire Petrol 2013 Onwards, Maruti Suzuki Ignis Petrol, Maruti Suzuki Baleno New Petrol, Maruti Suzuki Ciaz CNG, Maruti Suzuki Ciaz Petrol, Maruti Suzuki Alto K10 Petrol, Maruti Suzuki Alto K10 CNG, Maruti Suzuki Alto 800 CNG, Maruti Suzuki Alto 800 Petrol, Maruti Suzuki Celerio CNG, Maruti Suzuki Celerio Petrol, Maruti Suzuki Ertiga Petrol, Maruti Suzuki Baleno Old Altura, Maruti Suzuki Eeco  Petrol, Maruti Suzuki Estilo Petrol, Maruti Suzuki WagonR Petrol, Maruti Suzuki Alto Std  Petrol, Maruti Suzuki Swift Petrol 2012 Onwards, Honda Civic 1.3 Hybrid, Honda WR-V Petrol, Honda BR-V Petrol, Honda Mobilio Petrol, Honda City CNG, Honda Amaze 1.2 Petrol, Honda Brio Petrol, Honda Jazz Petrol, Honda City Petrol, Mitsubishi Cedia 2.0 Petrol, Mitsubishi Lancer Petrol, Chevrolet Spark 1.0 Petrol",False
SFSonic F4W5-72S-35R,sfsonic-f4w5-72s-35r,,SFSonic F4W5-72S-35R,SF Sonic,Car,35 Ah,72 Months (36 Months Free Of Cost + 36 Months Pro Rata),4850,3749,4649,BBCAR50,For this battery Manufacturer warranty is not available for commercial vehicles.,"Long-lasting and enriched with Calcium-Silver Technology, ensures starting power even after ages.","Tata  Indigo Petrol, Maruti Suzuki Swift Petrol Upto 2011, Maruti Suzuki 1000, Maruti Suzuki Esteem, Maruti Suzuki Zen Petrol, Maruti Suzuki Ritz Petrol, Maruti Suzuki SX4 Petrol, Maruti Suzuki Dzire Petrol Upto 2012, Maruti Suzuki A Star Petrol, Maruti Suzuki Omni Petrol, Maruti Gypsy 1000, Maruti Suzuki 800 Std, Hyundai Santro",False
SFSonic F4W5-66S-40LBH,sfsonic-f4w5-66s-40lbh,,SFSonic F4W5-66S-40LBH,SF Sonic,Car,40 Ah,66 Months (30 Months Free Of Cost + 36 Months Pro Rata),5291,3599,4599,BBCAR50,For this battery Manufacturer warranty is not available for commercial vehicles.,"SF Batteries offers enhanced maintenance free automotive batteries for the new age consumer! The batteries are designed with the latest technology in automotive batteries, to guarantee supersonic speed!","Renault Kwid, Nissan Datsun redi GO, Hyundai Santro 2018 Onwards, Hyundai Grand i10 NIOS Petrol, Hyundai Aura Petrol, Hyundai Elite i20 Era Petrol, Hyundai Elite i20 Asta Petrol, Hyundai Elite i20 Sportz Petrol, Hyundai i20 Active Petrol, Hyundai Elite i20 Magna Executive Petrol, Hyundai Xcent 1.2 Petrol, Hyundai Grand i10 1.2 Petrol, Hyundai i10 Sportz 1.1L LPG, Hyundai i10 Magna LPG, Hyundai i10 Sportz 1.1 Petrol, Hyundai i10 Magna 1.1 iTech Petrol, Hyundai i10 Magna 1.1 Petrol, Hyundai i10 Era Petrol, Hyundai i10 1.1 Petrol",False
SFSonic F4W5-66S-40RBH,sfsonic-f4w5-66s-40rbh,,SFSonic F4W5-66S-40RBH,SF Sonic,Car,35 Ah,55 Months (30 Months Free Of Cost + 25 Months Pro Rata),5291,3649,4549,BBCAR50,For this battery Manufacturer warranty is not available for commercial vehicles.,SF Sonic Flash Start 1440 with C21 alloy is the latest revolution in car batteries.,"Hyundai EON CNG, Hyundai EON Petrol",False
SFSonic F4W5-60S-DIN44LH,sfsonic-f4w5-60s-din44lh,,SFSonic F4W5-60S-DIN44LH,SF Sonic,Car,44 Ah,60 Months(30 Months Free Of Cost + 30 Months Pro Rata),6559,4599,5899,BBCAR50,For this battery Manufacturer warranty is not available for commercial vehicles.,"SF Batteries offers enhanced maintenance free automotive batteries for the new age consumer! The batteries are designed with the latest technology in automotive batteries, to guarantee supersonic speed!","Volkswagen Taigun 1.5 Petrol, Volkswagen Taigun 1.0 Petrol, Volkswagen Vento 1.2 Petrol, Volkswagen Ameo 1.2L MPI, Volkswagen Vento 1.6 Petrol, Volkswagen Polo 1.2 Petrol, Skoda Kushaq Petrol, Skoda Rapid 1.6 MPI Style Petrol AT, Skoda Rapid  1.6 Petrol, Skoda Fabia 1.2 Petrol, Premier Padmini Petrol, Mahindra Verito 1.4 Petrol, Kia Sonet Petrol, Kia Seltos Petrol, Hyundai Venue Petrol, Hyundai Getz Prime 1.1  Petrol, Ford Aspire Diesel, Ford Aspire Petrol, Ford Ecosport Diesel, Ford Ecosport Petrol, Ford New Ikon 1.3 Petrol, Ford New Ikon 1.4 Diesel, Ford Fusion Diesel, Ford Mondeo Diesel, Ford Fusion Petrol, Ford Mondeo Petrol, Ford Ikon Old Diesel, Ford Ikon Old Petrol, Ford Figo 1.4 Petrol, Ford Figo 1.4 Diesel, Ford Figo 1.2 Petrol, Ford Fiesta Classic 1.6 Petrol, Ford Fiesta Classic 1.4  Diesel, Ford Fiesta Diesel, Ford Fiesta Petrol, Fiat Petra Petrol, Fiat Avventura Petrol, Fiat Uno Petrol, Fiat Palio Petrol, Fiat Grande Punto 1.2 Petrol, Fiat Grande Punto 1.4 Petrol, Fiat Linea 1.4 Petrol, Chevrolet Beat Petrol",False
SFSonic F4W0-HX-DIN47RMF,sfsonic-f4w0-hx-din47rmf,,SFSonic F4W0-HX-DIN47RMF,SF Sonic,Car,47 Ah,48 Months(24 Months Free Of Cost + 24 Months Pro Rata),6724,4999,6199,BBCAR50,For this battery Manufacturer warranty is not available for commercial vehicles.,"SF HybridX - a smart battery specially designed for Instant Start Stop Technology (ISS) providing excellent performance, better fuel efficiency and longer life! No matter how many times your car stops and start.","Tata Tigor Petrol, Tata Nexon Petrol",False
SFSonic F4W5-60S-45LBH,sfsonic-f4w5-60s-45lbh,,SFSonic F4W5-60S-45LBH,SF Sonic,Car,45 Ah,60 Months(30 Months Free Of Cost + 30 Months Pro Rata),7238,4899,6099,BBCAR50,For this battery Manufacturer warranty is not available for commercial vehicles.,"SF Batteries offers enhanced maintenance free automotive batteries for the new age consumer! The batteries are designed with the latest technology in automotive batteries, to guarantee supersonic speed!","Hyundai Alcazar Petrol, Hyundai Creta Petrol, Hyundai Grand i10 Diesel, Hyundai i20 Asta Petrol, Hyundai i20 Sportz Petrol, Hyundai i20 Magna Petrol, Hyundai Xcent 1.1 CRDi Diesel, Hyundai Getz Prime 1.1  Petrol, Hyundai I20 Era Petrol, Hyundai Fluidic Verna Petrol",False
